method,target,feature_space,split_mode,grid_config_name,split,prediction_target,count_topN,mean_absolute_error,median_absolute_error,max_absolute_error,mean_relative_error,median_relative_error,max_relative_error
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_relu_drop_0.2,val,CPUTime,100,19763.922873535157,16751.45458984375,71315.779296875,0.7911403765481161,0.8190303136455688,0.9642298992140548
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_relu_drop_0.3,test,CPUTime,100,34337.6813470459,26530.99755859375,74927.30078125,12.042970220606703,0.9360770319225695,898.7795444542254
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_relu_drop_0.3,train,CPUTime,100,40566.02837036133,30493.310546875,246278.23193359375,20.809536106126696,0.8356439685404959,591.960009765625
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_128_act_relu_drop_0.3,val,CPUTime,100,20362.916571044923,17361.215698242188,72387.04052734375,0.8228866537761312,0.8635954024536148,0.9680905031778798
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_elu_drop_0.2,test,CPUTime,100,32471.82158569336,25204.967864990234,75435.98364257812,0.9099537594693403,0.948374508517372,0.9800679432757096
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_elu_drop_0.2,train,CPUTime,100,40001.025186157225,32724.214111328125,243865.64794921875,0.8034039703396992,0.8126335537891538,0.9761338416194232
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_elu_drop_0.2,val,CPUTime,100,18417.34100463867,14894.381103515625,64669.4306640625,0.8365958925798077,0.7034320694136771,7.067982648642322
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_elu_drop_0.3,test,CPUTime,100,32866.18411560058,25512.66552734375,75079.39965820312,0.8982502466865907,0.9398315644782615,0.9755906147798832
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_elu_drop_0.3,train,CPUTime,100,41608.146455078124,33381.732421875,246164.42431640625,0.8190923066721179,0.8203258438503865,1.0665315253929315
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_elu_drop_0.3,val,CPUTime,100,19740.789452438356,16137.663330078125,66828.28076171875,0.7929473430875055,0.7446324437988296,0.996088500509976
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_relu_drop_0.2,test,CPUTime,100,33668.94203735352,26650.89910888672,75521.92358398438,9.803401171874386,0.9298731019779577,713.7302486795775
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_relu_drop_0.2,train,CPUTime,100,39138.89734252929,28872.925537109375,245674.001953125,3.850793237416302,0.7918309458493751,257.26934895833335
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_relu_drop_0.2,val,CPUTime,100,19199.517929992675,16168.527587890625,70265.0751953125,0.8053770619715995,0.8045647833550027,1.4341231405417407
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_relu_drop_0.3,test,CPUTime,100,33399.846027832034,26447.203735351562,74700.09326171875,7.683093705767061,0.9198999055529178,546.1281910211268
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_relu_drop_0.3,train,CPUTime,100,41327.381679077145,31092.370361328125,247036.39599609375,241.34839966569913,0.8127538998611341,23974.213541666668
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_adam_batch_64_act_relu_drop_0.3,val,CPUTime,100,20208.37547241211,17223.965454101562,71833.82421875,0.8130687279033494,0.8663950230236872,0.9667773165973368
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_elu_drop_0.2,test,CPUTime,100,33057.43333801269,25943.987884521484,76516.58764648438,0.91512680112903,0.9465487118284943,0.9881986377176504
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_elu_drop_0.2,train,CPUTime,100,42525.680509033205,33946.68811035156,245625.77587890625,151.3101604424223,0.8685940233523365,15047.97265625
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_elu_drop_0.2,val,CPUTime,100,19121.96052642822,15215.684173583984,68077.39453125,0.7777477743674912,0.723666229914766,0.9892497067331356
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_elu_drop_0.3,test,CPUTime,100,32856.84945556641,25769.128509521484,76557.8656616211,0.9082676821911946,0.9369439261993644,0.9882827251278168
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_elu_drop_0.3,train,CPUTime,100,42834.19704711914,34163.712951660156,245372.2587890625,222.1647644788623,0.8627854129668419,22134.216145833332
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_elu_drop_0.3,val,CPUTime,100,19779.766907653808,16007.320495605469,69100.5703125,0.798158053770677,0.7852575648042638,0.9863733056081974
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_relu_drop_0.2,test,CPUTime,100,33802.86356079102,26978.616973876953,76739.97143554688,8.685640799173706,0.943958697685574,632.0767495598592
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_relu_drop_0.2,train,CPUTime,100,60518.74495025635,35667.180908203125,1669031.0,5614.704250964706,0.8780912655842841,556343.6666666666
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_relu_drop_0.2,val,CPUTime,100,19858.67876525879,17385.757080078125,70233.46557617188,0.8056326825019733,0.8507205123486131,0.9736046416119992
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_relu_drop_0.3,test,CPUTime,100,33236.81363525391,26559.347534179688,76566.09100341797,0.9108755533199426,0.9357011270028979,0.989939033404196
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_relu_drop_0.3,train,CPUTime,100,63534.3919543457,36181.64416503906,1925450.0,6464.9026475934525,0.881904960200212,641816.6666666666
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_128_act_relu_drop_0.3,val,CPUTime,100,20017.863576049804,16885.0146484375,70910.69750976562,0.8033354109713339,0.8324422292609356,0.9640863174416566
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_elu_drop_0.2,test,CPUTime,100,32671.530177001954,25727.49005126953,76555.24890136719,0.9002789349277157,0.9301248914496534,0.9871810998858924
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_elu_drop_0.2,train,CPUTime,100,42782.896077423095,33990.01721191406,245846.830078125,93.93940297553206,0.8776415314622259,9311.245442708334
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_elu_drop_0.2,val,CPUTime,100,19364.004593658447,15364.6474609375,68675.56787109375,0.7715121603358632,0.7285342223248116,0.9913116771354908
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_elu_drop_0.3,test,CPUTime,100,32819.32700805664,25999.18084716797,76632.53930664062,0.907105396776592,0.9345251298476518,0.9891863426966974
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_elu_drop_0.3,train,CPUTime,100,43389.903358612064,34444.59326171875,245521.107421875,77.7919502894258,0.8830284937406163,7696.03515625
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_elu_drop_0.3,val,CPUTime,100,19906.062192687987,16048.451171875,70464.69458007812,0.8007629370121149,0.7867552544579592,0.9901281091323
